is the house white?;it isn't white;it is white;it're yellow;it's purple;1;1;it is not the correct description;1;
does the house have two floors?;it has one floor;it have two floors;it has one three floors;it has two floors;1;1;it is not the correct description;1;
are there trees around the house?;there are trees around the house;there are cars around the house;there are flowers around the house;there are bikes around the house;1;1;it is not the correct description;1;
is this a new house?;this is a new house;this is an old house;this is a destroyed house;this are a new house;1;1;it is not the correct description;1;
are there two houses?;there aren't two houses;there are three houses;there is two houses;there are one house;1;1;it is not the correct description;1;
does the house have windows?;it has windows;it doesn't  have windows;it have windows;it hasn't windows;1;1;it is not the correct description;1;
is it a big house?;it's a big house;it isn't a big house;it is a small house;it's a normal house;1;1;it is not the correct description;2;
is the house in the city?;it is in the country side;it is in the city;it is in the shopping mall;it is in the jungle;1;1;it is not the correct description;2;
does it have  a pool?;it doesn't have a pool;it has a pool;it has two pool;it doesn't has a pool;1;1;it is not the correct description;2;
does it have a lot of rooms?;it has a lot of rooms;it doesn't  have a lot of rooms;it doesn´t have rooms;it has three rooms;1;1;it is not the correct description;2;
is there grass around the house?;there is grass around the house;there is not grass around the house;there are grass around the house;there are not grass around the house;1;1;it is not the correct description;2;
is this house beautiful?;this house is beautiful;this house is ugly;this house is bad;this house is terrible;1;1;it is not the correct description;2;
are there animals outside the house?;there aren't animals outside the house;there are animals outside the house;there is animals aoutside the house;there is not animals aoutside the house;1;1;it is not the correct description;3;
are there people outside the house?;there aren't people outside the house;there are people outside the house;there is one person outside the house;there are two people outside the house;1;1;it is not the correct description;3;
are there cars outside the house';there aren't cars outside the house;there are cars outside the house;there is a car outside the house;there are two cars outside the house;1;1;it is not the correct description;3;
does the house have a chimney?;the house doesn't  have a chimney;the house has a chimney;the house has two chimneys;the house has various chineys;1;1;it is not the correct description;3;
are there birds flying above the house?;there aren't birds flying above the house;there are birds flying above the house;there are three birds flying above the house;there is a bird flying above the house;1;1;it is not the correct description;3;
is this bathroom small?;this bathroom isn't small;this bathroom small isn't;this isn't small bathroom;this small bathroom isn't;1;1;it is not the correct description;4;
does this bathroom have a toilet?;this barthroom has a toilet;a toilet this bathroom has;has a toilet this bathroom;this bathroom a toilet has;1;1;it is not the correct description;4;
is this bathroom white?;this bathroom is white;this bathroom is black;this bathroom is colored;this bathroom is silver;1;1;it is not the correct description;4;
is there a sink here?;there is a sink here;there is a bed here;there is a kitchen here;there is a pet here;1;1;it is not the correct description;4;
are there slippers on the floor?;there are slippers on the floor;there are flowers on the floor;there are insects on the floor;there are napkins on the floor;1;1;it is not the correct description;4;
is the bedroom big?;the bedroom is big;the bedroom id small;the bedroom is gigant;the bedroom is red;1;1;it is not the correct description;5;
are there two beds in the room?;there aren't two beds in the room;there is two beds in the room;there are animals int he room;there is a dog in the room;1;1;it is not the correct description;5;
are there two chairs in the bedroom?;there are two chairs in the bedroom;there aren't two chairs in the bedroom;there is one chair in the bedroom;there is a seat in the bedroom;1;1;it is not the correct description;5;
are there two pillows on the bed?;there are two pillows on the bed;there aren't two pillows on the bed;there is one pillow on the bed;there are one pillow on the bed;1;1;it is not the correct description;5;
is there a tv in the bedroom?;there is a tv in the bedroom;there isn't a tv in the bedroom;there is a rock in the bedroom;there are rocks in the bedroom;1;1;it is not the correct description;5;
is there a lamp in the bedroom?;there is a lamp in the bedroom;there are lamps in the bedroom;there isn't a lamp in the bedroom;there are a lamp in the bedroom;1;1;it is not the correct description;5;
does the bedroom have two windows?;the bedroom has two windows;the bedroom doesn't have two windows;the bedroom has four windows ;the bedroom has three windows;1;1;it is not the correct description;5;
is there a rug on the floor?;there is a rug on the floor;there isn't a rug on the floor;there are five rugs on the floor;there is a spoon on the floor;1;1;it is not the correct description;5;
is there a mirror in the dinning room?;there is a mirror in the dinning room;there isn't a mirror in the dining room;there are mirrors in the dining room;there are ten mirrors in the dinning room;1;1;it is not the correct description;6;
is there a dining table in this picture?;there is a dining table in this picture;there isn't a dining table in this picture;there are two dining tables in this picture;there are dining tables in this pícture;1;1;it is not the correct description;6;
is there a painting in the picture?;there is a painting in the picture;there isn't a painting in the picture;there are paintings in the picture;there are six paintings in the picture;1;1;it is not the correct description;6;
are there four dishes on the dining table?;there are four dishes on the dining table;there are three dishes on the dining table;there is one dish on the dining table;there are eight dishes on the dining table;1;1;it is not the correct description;6;
are there two lamps in the dining room?;there are two lamps in the dining room;there aren't two lamps in the dining room;there is a lamp in the dining room;there are eleven lamps in the dining room;1;1;it is not the correct description;6;
is this an old dining table?;this is an old dining table;this is a new dining table;this isn't an old dining table;this is a purple dining table;1;1;it is not the correct description;6;
are you cleaning the kitchen?;i'm cleaning the kitchen;I'm cleaning not the kitchen;i'm the kitchen cleaning;am cleaning I the kitchen?;2;1;this is not the correct answer;;
is andres smoking?;he's smoking;he're not smoking;he smoking;he not is smoking;2;1;this is not the correct answer;;
will lina, andres and dilan be watching movies?;they'll be watching movies;they're be watching movies;they's be watching movies;they not will watching movies;2;1;this is not the correct answer;;
were leonardo and yessika painting the wall?;they were painting the wall;they are paiting the wall;they'll be painting the wall;they were painting not the wall;2;1;this is not the correct answer;;
are there ants in the ground?;there are ants in the ground;there's ants in the ground;there are ants the in ground;there isn't ants in the ground;2;1;this is not the correct answer;;
is there a person building a house?;there's a person building a house;there's isn't a person building a house;there are a person building a house;there will be a person building a house;2;1;this is not the correct answer;;
is she my sister?;she's my sister;she're my sister;she'll be my sister;she was my sister;2;1;this is not the correct answer;;
are they our parents?;they're our parents;they's our parents;they'll be our parents;they were my parents;2;1;this is not the correct answer;;
are we tired?;we're tired;we's tired;we were tired;we was tired;2;1;this is not the correct answer;;
will it be a good song?;it'll be a good song;it not will a good song;it won't a be good song;it won't be good a song;2;1;this is not the correct answer;;
is my doughter typing a text?;she's typing a text;she're typing a text;she'll be typing a text;she was typing a text;2;1;this is not the correct answer;;
are her brothers enjoying the match?;they're enjoying the match;he's enjoying the match;they's enjoying the match;he'll be enjoying the match;2;1;this is not the correct answer;;
will my mom be finding the lost book?;my mom'll be findning the lost book?;my mom's finding the lost book;she's be finding the lost book;she's not be finding the lost book;2;1;this is not the correct answer;;
is my wife sleeping?;she's sleeping;she're sleeping;she'll sleeping;she not be sleeping;2;1;this is not the correct answer;;
is lina sleepy?;lina's sleepy;lina're sleepy;lina's sleeping;lina'll be sleeping;2;1;this is not the correct answer;;
does your sister want to work?;she wants to work;she does want to work;she want to work;she wanted to work;2;1;this is not the correct answer;;
do you have to study? ;I have to work;I has to work;I does have to work;I's have to work;2;1;this is not the correct answer;;
will you invite me?;I' ll invite you;I'll invite me;I'll invite not you;I'll be invite you;2;1;this is not the correct answer;;
were you writing a letter?;I was writning a letter;I am writing a letter;I will be writing a letter;I were writing a letter;2;1;this is not the correct answer;;
is brenda openning the door?;brenda's openning the door;brenda're openning the door;brenda is not opening the door;brenda will be openning the door;2;1;this is not the correct answer;;
are marcela and cindy saving money?;they're saving money;they's saving money;they'll saving money;they were saving money;2;1;this is not the correct answer;;
do you fix computers?;I fix computers;I fixes computers;I do fixes computers;I does fix computers;2;1;this is not the correct answer;;
does the bathroom smell bad?;it smells bad;it smell bad;it do smells bad;it does smells bad;2;1;this is not the correct answer;;
did you like to do exercise?;I liked to do exercise;I did like to do exercise;I will like to do exercise;I like to do exercise;2;1;this is not the correct answer;;
will you learn to speak english?;I'll learn to speak english;I'll english learn to speak;I am learn to speak english;I was learn to speak english;2;1;this is not the correct answer;;
does andrea finish her homework?;andrea finishes her homework;andrea fiinishs her homework;andrea finish her homework;andrea does finish her homework;2;1;this is not the correct answer;;
do we need to earn money?;we need to earn money;we needs to eran money;we needes to earn money;we needed to earn money;2;1;this is not the correct answer;;
is he having breakfast?;he is having breakfast;he does having breakfast;he is haveing breakfast;he is having not breakfast;2;1;this is not the correct answer;;
is she making the bed?;she's making the bed;she're making the bed;she'll be making the bed;she's make the bed;2;1;this is not the correct answer;;
do you want to study english?;I want to study english;I wants to study english;I wantes to study english;I want study english;2;1;this is not the correct answer;;
is lina the most beautiful?;lina is the most beautiful;lina are the most beautiful;lina will be the most beautiful;lina was the most beautiful;2;1;this is not the correct answer;;
did dilan do the task?;dilan did the task;dilan did do the task;dilan didn't did the task;dilan do the task;2;1;this is not the correct answer;;
will my sister buy the notebooks?;she'll buy the notebooks;she'll buy the notebook;she's buy the notebook;she're buy the notebook;2;1;this is not the correct answer;;
do they think to study?;they think to study;they think study;they thinks to study;they thinkes to study;2;1;this is not the correct answer;;
