Is he house white?;It isn't white;It is white;It're yellow;It's purple;1;1;It is not the correct description;1
Does he house have two floors?;It has one floor;It have two floors;It has one three floors;It has two floors;1;1;It is not the correct description;1
Are there trees around the house?;There are trees around the house;There are cars around the house;There are flowers around the house;There are bikes around the house;1;1;It is not the correct description;1
Is this a new house?;This is a new house;This is an old house;This is a destroyed house;This are a new house;1;1;It is not the correct description;1
Are there two houses?;There aren't two houses;There are three houses;There is two houses;There are one house;1;1;It is not the correct description;1
Does the house have windows?;It has windows;It doesn't  have windows;It have windows;It hasn't windows;1;1;It is not the correct description;1
Is it a big house?;It's a big house;It isn't a big house;It is a small house;It's a normal house;1;1;It is not the correct description;2
Is the house in the city?;It is in the country side;It is in the city;It is in the shopping mall;It is in the jungle;1;1;It is not the correct description;2
Does it have  a pool?;It doesn't have a pool;It has a pool;It has two pool;It doesn't has a pool;1;1;It is not the correct description;2
Does it have a lot of rooms?;It has a lot of rooms;It doesn't  have a lot of rooms;It doesn´t have rooms;It has three rooms;1;1;It is not the correct description;2
Is there grass around the house?;There is grass around the house;There is not grass around the house;There are grass around the house;There are not grass around the house;1;1;It is not the correct description;2
Is this house beautiful?;This house is beautiful;This house is ugly;This house is bad;This house is terrible;1;1;It is not the correct description;2
Are there animals outside the house?;There aren't animals outside the house;There are animals outside the house;There is animals aoutside the house;There is not animals aoutside the house;1;1;It is not the correct description;3
Are there people outside the house?;There aren't people outside the house;There are people outside the house;There is one person outside the house;There are two people outside the house;1;1;It is not the correct description;3
Are there cars outside the house';There aren't cars outside the house;There are cars outside the house;There is a car outside the house;There are two cars outside the house;1;1;It is not the correct description;3
Does the house have a chimney?;The house doesn't  have a chimney;The house has a chimney;The house has two chimneys;The house has various chineys;1;1;It is not the correct description;3
Are there birds flying above the house?;There aren't birds flying above the house;There are birds flying above the house;There are three birds flying above the house;There is a bird flying above the house;1;1;It is not the correct description;3
Is this bathroom small?;This bathroom isn't small;This bathroom small isn't;This isn't small bathroom;This small bathroom isn't;1;1;It is not the correct description;4
Does this bathroom have a toilet?;This barthroom has a toilet;A toilet this bathroom has;Has a toilet this bathroom;This bathroom a toilet has;1;1;It is not the correct description;4
Is this bathroom white?;This bathroom is white;This bathroom is black;This bathroom is colored;This bathroom is silver;1;1;It is not the correct description;4
Is there a sink here?;There is a sink here;There is a bed here;There is a kitchen here;There is a pet here;1;1;It is not the correct description;4
Are there slippers on the floor?;There are slippers on the floor;There are flowers on the floor;There are insects on the floor;There are napkins on the floor;1;1;It is not the correct description;4
Is the bedroom big?;The bedroom is big;The bedroom id small;The bedroom is gigant;The bedroom is red;1;1;It is not the correct description;5
Are there two beds in the room?;There aren't two beds in the room;There is two beds in the room;There are animals int he room;There is a dog in the room;1;1;It is not the correct description;5
Are there two chairs in the bedroom?;There are two chairs in the bedroom;There aren't two chairs in the bedroom;There is one chair in the bedroom;There is a seat in the bedroom;1;1;It is not the correct description;5
Are there two pillows on the bed?;There are two pillows on the bed;There aren't two pillows on the bed;There is one pillow on the bed;There are one pillow on the bed;1;1;It is not the correct description;5
Is there a tv in the bedroom?;There is a tv in the bedroom;There isn't a tv in the bedroom;There is a rock in the bedroom;There are rocks in the bedroom;1;1;It is not the correct description;5
Is there a lamp in the bedroom?;There is a lamp in the bedroom;There are lamps in the bedroom;There isn't a lamp in the bedroom;There are a lamp in the bedroom;1;1;It is not the correct description;5
Does the bedroom have two windows?;The bedroom has two windows;The bedroom doesn't have two windows;The bedroom has four windows ;The bedroom has three windows;1;1;It is not the correct description;5
Is there a rug on the floor?;There is a rug on the floor;There isn't a rug on the floor;There are five rugs on the floor;There is a spoon on the floor;1;1;It is not the correct description;5
Is there a mirror in the dining room?;There is a mirror in the dining room;There isn't a mirror in the dining room;There are mirrors in the dining room;There are ten mirrors in the dining room;1;1;It is not the correct description;6
Is there a dining table in this picture?;There is a dining table in this picture;There isn't a dining table in this picture;There are two dining tables in this picture;There are dining tables in this pícture;1;1;It is not the correct description;6
Is there a painting in the picture?;There is a painting in the picture;There isn't a painting in the picture;There are paintings in the picture;There are six paintings in the picture;1;1;It is not the correct description;6
Are there four dishes on the dining table?;There are four dishes on the dining table;There are three dishes on the dining table;There is one dish on the dining table;There are eight dishes on the dining table;1;1;It is not the correct description;6
Are there two lamps in the dining room?;There are two lamps in the dining room;There aren't two lamps in the dining room;There is a lamp in the dining room;There are eleven lamps in the dining room;1;1;It is not the correct description;6
Is this an old dining table?;This is an old dining table;This is a new dining table;This isn't an old dining table;This is a purple dining table;1;1;It is not the correct description;6
Are you cleaning the kitchen?;I'm cleaning the kitchen;I'm cleaning not the kitchen;I'm the kitchen cleaning;Am cleaning i the kitchen?;2;1;This is not the correct answer;
Is Andres smoking?;He's smoking;He're not smoking;He smoking;He not is smoking;2;1;This is not the correct answer;
Will Lina, Andres and Dilan be watching movies?;They'll be watching movies;They're be watching movies;They's be watching movies;They not will watching movies;2;1;This is not the correct answer;
Were Leonardo and Yessika painting the wall?;They were painting the wall;They are paiting the wall;They'll be painting the wall;They were painting not the wall;2;1;This is not the correct answer;
Are there ants in the ground?;There are ants in the ground;There's ants in the ground;There are ants the in ground;There isn't ants in the ground;2;1;This is not the correct answer;
Is there a person building a house?;There's a person building a house;There's isn't a person building a house;There are a person building a house;There will be a person building a house;2;1;This is not the correct answer;
Is she my sister?;She's my sister;She're my sister;She'll be my sister;She was my sister;2;1;This is not the correct answer;
Are they our parents?;They're our parents;They's our parents;They'll be our parents;They were my parents;2;1;This is not the correct answer;
Are we tired?;We're tired;We's tired;We were tired;We was tired;2;1;This is not the correct answer;
Will it be a good song?;It'll be a good song;It not will a good song;It won't a be good song;It won't be good a song;2;1;This is not the correct answer;
Is my daughter typing a text?;She's typing a text;She're typing a text;She'll be typing a text;She was typing a text;2;1;This is not the correct answer;
Are her brothers enjoying the match?;They're enjoying the match;He's enjoying the match;They's enjoying the match;He'll be enjoying the match;2;1;This is not the correct answer;
Will my mom be finding the lost book?;My mom'll be findning the lost book?;My mom's finding the lost book;She's be finding the lost book;She's not be finding the lost book;2;1;This is not the correct answer;
Is my wife sleeping?;She's sleeping;She're sleeping;She'll sleeping;She not be sleeping;2;1;This is not the correct answer;
Is Lina sleepy?;Lina's sleepy;Lina're sleepy;Lina's sleeping;Lina'll be sleeping;2;1;This is not the correct answer;
Does your sister want to work?;She wants to work;She does want to work;She want to work;She wanted to work;2;1;This is not the correct answer;
Do you have to study? ;I have to work;I has to work;I does have to work;I's have to work;2;1;This is not the correct answer;
Will you invite me?;I' ll invite you;I'll invite me;I'll invite not you;I'll be invite you;2;1;This is not the correct answer;
Were you writing a letter?;I was writning a letter;I am writing a letter;I will be writing a letter;I were writing a letter;2;1;This is not the correct answer;
Is Brenda openning the door?;Brenda's openning the door;Brenda're openning the door;Brenda is not opening the door;Brenda will be openning the door;2;1;This is not the correct answer;
Are Marcela and Cindy saving money?;They're saving money;They's saving money;They'll saving money;They were saving money;2;1;This is not the correct answer;
Do you fix computers?;I fix computers;I fixes computers;I do fixes computers;I does fix computers;2;1;This is not the correct answer;
Does the bathroom smell bad?;It smells bad;It smell bad;It do smells bad;It does smells bad;2;1;This is not the correct answer;
Did you like to do exercise?;I liked to do exercise;I did like to do exercise;I will like to do exercise;I like to do exercise;2;1;This is not the correct answer;
Will you learn to speak english?;I'll learn to speak english;I'll english learn to speak;I am learn to speak english;I was learn to speak english;2;1;This is not the correct answer;
